,Brand,Resolution,Size ,Selling Price,Original Price,Operating System,Rating,Discount
0,TOSHIBA,Ultra HD LED,55,37999,54990,VIDAA,4.3,16991
1,TCL ,QLED Ultra HD,55,52999,129990,Android,4.4,76991
2,REALME ,HD LED,32,13999,17999,Android,4.3,4000
3,MI ,HD LED,32,14999,19999,Android,4.4,5000
4,REALME ,HD LED,32,12999,21999,Android,4.3,9000
5,ONEPLUS,HD LED,32,15999,19999,Android,4.3,4000
6,ONEPLUS,Full HD LED,43,25999,29999,Android,4.3,4000
7,TCL ,Ultra HD LED,65,57999,119990,Android,4.2,61991
8,MI ,Full HD LED,40,21999,29999,Android,4.3,8000
9,REALME ,Ultra HD LED,43,26999,32999,Android,4.3,6000
10,MI ,Ultra HD LED,43,27999,34999,Android,4.3,7000
11,HISENSE,Ultra HD LED,55,36999,49990,Android,4.4,12991
12,MI ,Ultra HD LED,50,35999,41999,Android,4.3,6000
13,MI ,HD LED,32,15499,19999,Android,4.3,4500
14,MI ,HD LED,32,14999,19999,Android,4.3,5000
15,HISENSE,Ultra HD LED,70,89999,119990,Android,4.4,29991
16,LG ,HD LED,32,17499,21990,Linux,4.4,4491
17,MI ,Full HD LED,43,25999,31999,Android,4.3,6000
18,MI ,Ultra HD LED,55,45999,69999,Android,4.2,24000
19,TOSHIBA,Ultra HD LED,43,27999,39990,VIDAA,4.3,11991
20,MARQ BY FLIPKART,HD LED,32,9999,19999,Unknown,4.3,10000
21,MI ,Ultra HD LED,43,31999,49999,Android,4.2,18000
22,IFFALCON BY TCL,Ultra HD LED,55,32999,70990,Android,4.3,37991
23,TCL ,Ultra HD LED,50,33999,62990,Android,4.4,28991
24,ONEPLUS,Full HD LED,40,22499,27999,Android,4.3,5500
25,COOCAA ,HD LED,32,10999,36990,Android,4.2,25991
26,TOSHIBA,HD LED,32,12499,14990,VIDAA,4.4,2491
27,MI ,Full HD LED,43,24999,34999,Android,4.3,10000
28,SAMSUNG,Ultra HD LED,43,38990,54900,Tizen,4.3,15910
29,MI ,Ultra HD LED,55,42999,49999,Android,4.3,7000
30,LG ,Full HD LED,43,33490,40990,WebOS,4.4,7500
31,INFINIX,Full HD LED,43,20499,24999,Android,4.2,4500
32,MI ,Ultra HD LED,50,41999,59999,Android,4.2,18000
33,INFINIX,HD LED,32,11999,17999,Android,4.2,6000
34,LG ,Ultra HD LED,55,52999,79990,WebOS,4.4,26991
35,VU,Ultra HD LED,55,46999,85000,Android,4.4,38001
36,NOKIA ,Ultra HD LED,43,32999,48999,Android,4.4,16000
37,VU,Ultra HD LED,43,31000,39999,Android,4.4,8999
38,NOKIA ,Ultra HD LED,50,39999,59999,Android,4.4,20000
39,THOMSON,Ultra HD LED,50,32999,40999,Android,4.4,8000
40,THOMSON,HD LED,24,8499,10499,Android,4.1,2000
41,MI ,QLED Ultra HD,55,58999,59999,Android,4.4,1000
42,ONEPLUS,Ultra HD LED,55,49999,59999,Android,4.3,10000
43,VU,Ultra HD LED,50,40999,65000,Android,4.4,24001
44,LG ,Ultra HD LED,43,42990,59990,WebOS,4.5,17000
45,IFFALCON BY TCL,Ultra HD LED,43,24999,47990,Android,4.3,22991
46,NOKIA ,Ultra HD LED,43,31999,45999,Android,4.1,14000
47,THOMSON,Full HD LED,42,20499,27999,Android,4.3,7500
48,THOMSON,Ultra HD LED,55,34999,46999,Android,4.2,12000
